aspect,phrase,polarity,review
cast,great cast,positive,"iMAX experience was brilliant, a very stylish movie with minimal cgi, loads of actions and great cast and a great comeback movie with the return of cinema."
CGI,CGI should be done.,positive,A beautiful example of how CGI should be done.
Liam Neeson,Portraying the title character,neutral,one of the all time film greats that won seven academy awards and got Liam Neeson his Best actor nomination for Portraying the title character.
SCHINDLER'S LIST,the closest thing to a perfect picture that I've ever seen,positive,"SCHINDLER'S LIST, based on the book by Thomas Keneally, is the closest thing to a perfect picture that I've ever seen."
Thomas Keneally,the closest thing to a perfect picture that I've ever seen,positive,"SCHINDLER'S LIST, based on the book by Thomas Keneally, is the closest thing to a perfect picture that I've ever seen."
tom hardy's,good casting call,positive,"As said by some others this is a disappointment, it had the same vibe of disappointment as the two previous instalments but I found them more entertaining at least, the first mad max was a good film and by far the best of the series and this fails to bring any form of ""mad max"" to life as throughout the film as tom hardy's ( good casting call ) mad max remained nothing but tame max at very best, I also felt that for something based in or around a large chase scene it didn't seem to go anywhere throughout, the movie it started well but stayed at the same pace throughout the film."
George Miller,did it again.,positive,"Everyone else was perfectly placed, and George Miller did it again."
Character development,nonexistent,negative,Character development was nonexistent.
screen,having your eyebrow raised to the roof,positive,It's worth going to see on the big screen but you will come out of the cinema with a sore head from having your eyebrow raised to the roof for 2.5 hours.
Schindler's List,every part of this film is amazing,positive,"Schindler's List is possibly the best film ever made, every part of this film is amazing, it is even better than the original, I was very surprised by this."
acting,well-done,positive,"The acting was well-done, except for the lead."
lead,well-done,positive,"The acting was well-done, except for the lead."
Tom hardy,kills it in this role,positive,Tom hardy kills it in this role and he only says like 5 lines.
photography,incredible,positive,"The photography is incredible, contributing to the growing tension of the film and even better is the CGI that did the budget."
CGI,did the budget,neutral,"The photography is incredible, contributing to the growing tension of the film and even better is the CGI that did the budget."
Mad Max,the complete action package for all action lovers,positive,But this Mad Max:Fury Road is the complete action package for all action lovers.
Liam Neeson,at his best,positive,"Liam Neeson is well, Liam Neeson at his best."
Liam Neeson,at his best,positive,"Liam Neeson is well, Liam Neeson at his best."
Furiosa (Charlize Theron),"as the poster shows, the real main in this film is none",neutral,"Also, and as the poster shows, the real main in this film is none other than Furiosa (Charlize Theron), Max Rockatansky (Tom Hardy) is a good (nearly silent) second lead."
Tom Hardy,a good (nearly silent) second lead,positive,"Also, and as the poster shows, the real main in this film is none other than Furiosa (Charlize Theron), Max Rockatansky (Tom Hardy) is a good (nearly silent) second lead."
music,top notch,positive,At least the music and the filming are top notch.
filming,top notch,positive,At least the music and the filming are top notch.
Hitler,serious or not,neutral,"If someone says they were going to kill someone, serious or not, they should of paid attention to Hitler."
George Miller,two hours of non-stop action,positive,"Directed by George Miller, who directed the original Mel Gibson- starring Mad Max in 1979, plus both its sequels, Mad Max: Fury Road is two hours of non-stop action."
Mad Max,two hours of non-stop action,positive,"Directed by George Miller, who directed the original Mel Gibson- starring Mad Max in 1979, plus both its sequels, Mad Max: Fury Road is two hours of non-stop action."
Max,great,positive,He's portrayal of Max was great and its one of my favourite movies now.
Schindler,sees the red coat among a pile of corpses,neutral,"It's brilliant representation of hope and leads to one of the saddest moments of the film in my opinion, when Schindler sees the red coat among a pile of corpses."
Tenet,watch,neutral,"If you can, get to a cinema and watch Tenet."
Nolan,The Nolan team don't skimp on the 'epic'ery,positive,The Nolan team don't skimp on the 'epic'ery of their films (although they may have to after the pandemic eats into the box office of this one).
Amon Goeth,a Nazi Kommandant with plans to rape a Jewish woman,neutral,"And Ralph Fiennes as Amon Goeth, a Nazi Kommandant with plans to rape a Jewish woman."
Schindler's List,amongst the finest movies of all time,positive,Schindler's List is consistently ranked amongst the finest movies of all time.
guitar player,guitar player,neutral,like the guitar player for example
Tom Hardy,he was more creative in acting and acting,positive,"Tom Hardy did not speak a lot in the movie, but he was more creative in acting and acting."
mad,George Miller wanted to create a film that could appeal to new and old fans,neutral,"I was shocked to see that a mad max film could have so little to do with the main character Max, and it become obvious that George Miller wanted to create a film that could appeal to new and old fans."
max,George Miller wanted to create a film that could appeal to new and old fans,neutral,"I was shocked to see that a mad max film could have so little to do with the main character Max, and it become obvious that George Miller wanted to create a film that could appeal to new and old fans."
Max,George Miller wanted to create a film that could appeal to new and old fans,neutral,"I was shocked to see that a mad max film could have so little to do with the main character Max, and it become obvious that George Miller wanted to create a film that could appeal to new and old fans."
